file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,data,-46.92769656262347,-47.96336296677146,4.054871511450409,8.183849754424223
F2BJRLP2,0.0,28.6474375,data,-46.80461932809773,-47.70073622009683,3.9935938239368935,7.7568836942774055
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,data,-44.58680835212629,-48.659805644642226,3.890318856726019,12.422107757688021
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,data,-44.22011671458838,-48.42242901141827,3.4544684135425805,11.13029074707532
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,data,-45.243828125,-50.800738701453575,3.3114711635198026,11.42655312425563
F2BJRLP3,0.0,30.7068125,data,-47.3770555193748,-48.30178416371346,3.213527300289373,10.391980560285393
